Record ID,City,State,Victim Sex,Victim Age,Perpetrator Sex, Perpetrator Age,Relationship,Weapon Used
4656,Yuba,California,Male,76,Male,6,Neighbor,Shotgun
11163,Osceola,Michigan,Male,36,Male,6,Sister,Fire
11164,Osceola,Michigan,Female,29,Male,6,Sister,Fire
11165,Osceola,Michigan,Male,3,Male,6,Sister,Fire
11166,Osceola,Michigan,Male,2,Male,6,Sister,Fire
11167,Osceola,Michigan,Female,0,Male,6,Sister,Fire
20347,Liberty,Texas,Female,4,Male,6,Family,Rifle
38257,Greene,Ohio,Female,2,Male,6,Acquaintance,Drowning
49953,Okeechobee,Florida,Male,5,Male,6,Unknown,Rifle
126376,Dade,Florida,Male,3,Male,6,Acquaintance,Fall
136126,Tulsa,Oklahoma,Male,0,Male,6,Family,Fire
162617,Los Angeles,California,Female,0,Male,6,Sister,Blunt Object
171563,New York,New York,Male,7,Male,6,Brother,Handgun
173272,Cuyahoga,Ohio,Female,13,Female,6,Sister,Shotgun
179194,Independence,Arkansas,Male,11,Male,6,Friend,Rifle
187758,Franklin,Maine,Male,4,Male,6,Brother,Rifle
189564,Ashe,North Carolina,Male,6,Male,6,Neighbor,Handgun
193595,Tulsa,Oklahoma,Male,7,Female,6,Acquaintance,Handgun
222018,Los Angeles,California,Male,3,Male,6,Brother,Handgun
225189,Denver,Colorado,Male,0,Male,6,Acquaintance,Unknown
236824,Union,Oregon,Male,1,Male,6,Brother,Rifle
241306,Fauquier,Virginia,Female,3,Male,6,Sister,Shotgun
255203,Ramsey,Minnesota,Female,1,Male,6,Sister,Suffocation
280082,Washington,Mississippi,Male,15,Male,6,Acquaintance,Handgun
313464,Juneau,Wisconsin,Female,5,Male,6,Unknown,Rifle
375259,Denver,Colorado,Female,1,Female,6,Sister,Suffocation
386160,Tarrant,Texas,Female,3,Female,6,Sister,Drowning
388115,Maricopa,Arizona,Female,35,Male,6,Sister,Fire
388142,Maricopa,Arizona,Female,11,Male,6,Sister,Fire
392312,Fulton,Georgia,Male,5,Male,6,Brother,Handgun
396204,Forsyth,North Carolina,Female,11,Male,6,Sister,Shotgun
404744,Riverside,California,Male,3,Female,6,Family,Suffocation
409475,Genesee,Michigan,Female,6,Male,6,Acquaintance,Handgun
424343,Prince George's,Maryland,Male,4,Male,6,Brother,Handgun
458243,Cole,Missouri,Male,59,Male,6,Family,Rifle
470436,Orange,Florida,Female,1,Male,6,Sister,Blunt Object
486772,Orange,Florida,Female,6,Male,6,Family,Blunt Object
490131,Kent,Michigan,Male,2,Female,6,Brother,Unknown
563880,Iron,Utah,Female,5,Female,6,Family,Rifle
575338,Orange,New York,Male,10,Male,6,Friend,Handgun
575986,Muskogee,Oklahoma,Male,2,Male,6,Brother,Fire
595852,Juneau,Alaska,Female,12,Male,6,Friend,Rifle
598963,Dade,Florida,Female,4,Male,6,Unknown,Firearm
600331,Rockdale,Georgia,Male,8,Male,6,Brother,Fire
600332,Rockdale,Georgia,Female,9,Male,6,Brother,Fire
600333,Rockdale,Georgia,Male,0,Male,6,Brother,Fire
600334,Rockdale,Georgia,Male,3,Male,6,Brother,Fire
605874,Oswego,New York,Male,3,Male,6,Brother,Fire
606845,Cumberland,Pennsylvania,Male,8,Male,6,Brother,Handgun
627224,Dade,Florida,Male,55,Male,6,Family,Firearm
13056,Forsyth,North Carolina,Female,4,Male,5,Sister,Handgun
15463,New York,New York,Male,28,Female,5,Unknown,Knife
18225,Philadelphia,Pennsylvania,Male,4,Male,5,Brother,Handgun
57110,Lincoln,New Mexico,Female,3,Male,5,Sister,Handgun
65302,Boone,Arkansas,Male,3,Male,5,Brother,Handgun
72007,Cook,Illinois,Male,27,Male,5,Friend,Knife
79392,Franklin,Ohio,Male,1,Male,5,Brother,Handgun
89063,Dade,Florida,Male,3,Female,5,Friend,Drowning
112208,Jackson,Missouri,Female,3,Male,5,Sister,Firearm
112647,Ravalli,Montana,Female,6,Male,5,Sister,Rifle
155231,Oklahoma,Oklahoma,Male,0,Male,5,Brother,Blunt Object
156789,Andrews,Texas,Female,3,Male,5,Sister,Handgun
160521,Apache,Arizona,Male,3,Male,5,Brother,Rifle
177424,Harris,Texas,Male,5,Male,5,Friend,Handgun
179211,Jefferson,Arkansas,Male,33,Male,5,Unknown,Handgun
179524,Maricopa,Arizona,Female,3,Male,5,Sister,Rifle
183667,District of Columbia,District of Columbia,Male,3,Female,5,Boyfriend,Handgun
203250,Santa Clara,California,Male,3,Male,5,Brother,Handgun
216757,McLennan,Texas,Female,1,Male,5,Neighbor,Blunt Object
232327,Mecklenburg,North Carolina,Male,3,Female,5,Brother,Handgun
296490,District of Columbia,District of Columbia,Male,3,Female,5,Brother,Handgun
387859,Juneau,Alaska,Male,7,Male,5,Brother,Rifle
389669,Los Angeles,California,Female,2,Male,5,Sister,Shotgun
413372,Pottawatomie,Oklahoma,Male,7,Male,5,Brother,Rifle
420559,Denver,Colorado,Male,46,Female,5,Acquaintance,Fire
445012,Cuyahoga,Ohio,Male,0,Female,5,Brother,Drowning
469949,Dade,Florida,Female,3,Male,5,Sister,Handgun
515298,Westmoreland,Virginia,Male,26,Unknown,5,Unknown,Knife
528967,Oklahoma,Oklahoma,Male,6,Male,5,Family,Shotgun
539545,Marion,Indiana,Female,4,Male,5,Sister,Handgun
583973,Volusia,Florida,Female,3,Male,5,Sister,Blunt Object
620055,Creek,Oklahoma,Female,41,Unknown,5,Unknown,Unknown
621529,Hughes,South Dakota,Female,998,Male,5,Acquaintance,Blunt Object
29858,Champaign,Illinois,Female,2,Male,4,Sister,Handgun
35317,Jones,North Carolina,Female,4,Male,4,Family,Rifle
40810,Sullivan,Tennessee,Male,40,Female,4,Husband,Handgun
91602,Bossier,Louisiana,Female,0,Male,4,Stranger,Blunt Object
107566,Dade,Florida,Male,35,Male,4,Friend,Handgun
154629,Montgomery,Ohio,Male,2,Female,4,Family,Handgun
161980,Los Angeles,California,Female,1,Male,4,Sister,Blunt Object
168196,Kalamazoo,Michigan,Female,3,Male,4,Sister,Handgun
170968,Santa Fe,New Mexico,Male,2,Male,4,Brother,Handgun
171709,New York,New York,Female,4,Female,4,Acquaintance,Unknown
189269,St. Louis city,Missouri,Female,1,Male,4,Sister,Handgun
203486,Chaffee,Colorado,Male,2,Male,4,Brother,Handgun
243217,Maricopa,Arizona,Male,3,Male,4,Brother,Handgun
266920,Pulaski,Arkansas,Male,8,Male,4,Brother,Handgun
304534,Mecklenburg,North Carolina,Male,2,Male,4,Friend,Handgun
345706,Jackson,Missouri,Male,3,Male,4,Brother,Handgun
378309,Marion,Indiana,Male,2,Male,4,Brother,Handgun
381424,Guilford,North Carolina,Male,6,Male,4,Acquaintance,Handgun
386084,Nueces,Texas,Male,6,Male,4,Brother,Handgun
389867,Riverside,California,Female,2,Male,4,Sister,Knife
391624,Palm Beach,Florida,Male,1,Male,4,Unknown,Blunt Object
400173,Shelby,Tennessee,Male,8,Male,4,Family,Handgun
405010,San Bernardino,California,Male,0,Female,4,Acquaintance,Blunt Object
416193,Davis,Utah,Male,99,Male,4,Unknown,Blunt Object
442338,Hinds,Mississippi,Male,0,Female,4,Brother,Blunt Object
443438,Bernalillo,New Mexico,Female,1,Male,4,Acquaintance,Handgun
457106,Prince George's,Maryland,Female,5,Male,4,Sister,Handgun
596383,Yavapai,Arizona,Male,34,Male,4,Father,Handgun
616952,Hennepin,Minnesota,Male,2,Male,4,Brother,Handgun
16783,Medina,Ohio,Male,6,Male,3,Brother,Rifle
26258,San Bernardino,California,Male,13,Male,3,Family,Handgun
41531,Hidalgo,Texas,Male,2,Male,3,Brother,Handgun
62530,Harris,Texas,Male,2,Male,3,Brother,Handgun
75936,Montgomery,North Carolina,Female,0,Male,3,Sister,Drowning
110540,Baltimore,Maryland,Male,35,Male,3,Father,Handgun
112131,Polk,Missouri,Male,21,Male,3,Acquaintance,Rifle
130323,St. Mary's,Maryland,Male,1,Male,3,Brother,Fire
153142,New York,New York,Male,42,Male,3,Unknown,Handgun
163853,Sonoma,California,Female,68,Male,3,Wife,Handgun
173992,Tulsa,Oklahoma,Male,2,Female,3,Brother,Fire
193492,Oklahoma,Oklahoma,Female,2,Male,3,Sister,Rifle
330365,Klamath,Oregon,Female,7,Male,3,Sister,Handgun
339854,Dade,Florida,Male,2,Male,3,Brother,Firearm
340428,Lee,Florida,Female,2,Male,3,Sister,Firearm
